"Timestamp","Age","Sex","Degree","What kind of diet do you generally follow?","What were the approximate proportions of the macro nutrients in your lunch meal? [Carbohydrates]","What were the approximate proportions of the macro nutrients in your lunch meal? [Carbohydrates-Proteins]","What were the approximate proportions of the macro nutrients in your lunch meal? [Proteins]","What were the approximate proportions of the macro nutrients in your lunch meal? [Proteins-Fats]","What were the approximate proportions of the macro nutrients in your lunch meal? [Fats]","What were the approximate proportions of the macro nutrients in your lunch meal? [Others]","How full did you feel after lunch?","Did you have coffee or any other energy drinks between lunch and the end of your class?","How would you describe the type of afternoon class you had right after lunch today?","How interactive would you rate your afternoon class as?","How many breaks did you have during the after-lunch class?","How would you rate your energy level during your afternoon class?","How much did YOU  interact in the afternoon class (raising hands, asking questions, etc)?","How long (in hours) was your afternoon class?  ","Approximately, how many minutes of your class time did you spend on your phone for non educational purposes (checking hours, emails, Twitter, Netflix, etc)?","How much did you collaborate with your classmates?","How much did you enjoy the class?","At what time did you complete this form? ","How confident are you in the accuracy of your previous answers?"
"2021/12/01 5:16:08 PM GMT+1","20","Female","L2 FDV","Non restricted","50%","25%","25%","<10%","0%","0%","I am still hungry","I usually do, and I drank today too","Lectures;Individual self study","2","2","3","2","2h","8","2","3","After afternoon classes","7"
"2021/12/01 5:16:55 PM GMT+1","21","","L3 FDV","Vegan;Vegetarian;Non restricted","50%","<10%","<10%","<10%","<10%","<10%","I feel satisfied with how much I ate","I usually do not, and I did not drink today either","Lectures;Group or project work","3","1","3","3","More","20","3","3","At the end of the day","9"
"2021/12/06 12:09:54 PM GMT+1","24","Male","M2 Digital science","Non restricted","25%","0%","25%","<10%","25%","<10%","I feel satisfied with how much I ate;I am too full, I overate","I usually do, but I did not drink today","Lectures;Group or project work","2","1","2","3","3h","30","3","3","A different day than the one you're referring to","8"
"2021/12/06 1:06:09 PM GMT+1","27","Female","M1 Learning science","Non restricted","50%","50%","0%","0%","0%","0%","I feel satisfied with how much I ate","I usually do, but I did not drink today","Lectures","4","0","4","4","2h;2h30","5","4","4","After afternoon classes","8"
"2021/12/07 3:00:01 PM GMT+1","20","Female","L3 FDV","Vegetarian","25%","50%","25%","<10%","<10%","<10%","I feel satisfied with how much I ate","I usually do not, and I did not drink today either","Group or project work;Individual self study","3","> 3","4","4","More","30","4","4","A different day than the one you're referring to","9"
"2021/12/07 3:52:14 PM GMT+1","21","Female","L2 FDV","Halal","50%","0%","25%","0%","25%","0%","I feel satisfied with how much I ate","I usually do, and I drank today too","Lectures","1","1","3","1","2h","5","2","3","A different day than the one you're referring to","6"
"2021/12/07 4:38:14 PM GMT+1","25","Male","M2 Life science","Vegetarian","50%","<10%","<10%","<10%","<10%","<10%","I feel satisfied with how much I ate","I usually do not, and I did not drink today either","Group or project work","3","1","4","3","3h","1","3","4","A different day than the one you're referring to","10"
"2021/12/08 10:58:06 PM GMT+1","23","Others","M1 Life science","Vegan;Vegetarian",">75%","0%","0%","0%","0%","0%","I feel satisfied with how much I ate","I usually do, and I drank today too","Lectures","3","1","3","3","3h","1","3","4","A different day than the one you're referring to","10"
"2021/12/09 6:40:58 PM GMT+1","36","Male","M2 Learning science","Non restricted","50%","50%","75%","75%",">75%","50%","I feel satisfied with how much I ate","I usually do not, and I did not drink today either","Group or project work;Individual self study","4","1","3","3","3h","10 ","4","4","At the end of the day","9"
"2021/12/09 6:42:04 PM GMT+1","19","Female","L2 FDV","Vegetarian","25%","25%","<10%","<10%","<10%","0%","I feel satisfied with how much I ate","I usually do not, and I did not drink today either","Lectures;Individual self study","3","2","3","2","2h30","1","4","3","At the end of the day","7"
"2021/12/09 7:29:37 PM GMT+1","19","","L2 FDV","Non restricted","75%","<10%","25%","25%","0%","0%","I feel satisfied with how much I ate;I am too full, I overate","I usually do, but I did not drink today","Group or project work;Individual self study","4","1","3","3","3h","10","3","3","At the end of the day","7"
"2021/12/09 10:18:53 PM GMT+1","27","Female","M2 Learning science","Non restricted","25%","25%","25%","25%","<10%","<10%","I feel satisfied with how much I ate","I usually do, but I did not drink today","Group or project work","5","0","4","4","3h","5","5","4","At the end of the day","7"
"2021/12/10 8:31:12 AM GMT+1","25","Female","M2 Learning science","Flexitarian","50%","0%","0%","50%","<10%","0%","I feel satisfied with how much I ate","I usually do, and I drank today too","Individual self study","1","1","4","3","3h","60","2","4","A different day than the one you're referring to","8"
"2021/12/10 10:15:10 AM GMT+1","26","Male","M2 Life science","Non restricted","25%","50%","<10%","25%","<10%","<10%","I am still hungry","I usually do not, and I did not drink today either","Lectures;Student Presentations (I'm the one listening)","4","0","4","1","2h30","5","4","4","A different day than the one you're referring to","9"
"2021/12/10 2:53:45 PM GMT+1","22","Female","L2 FDV","Non restricted","50%","0%","25%","25%","0%","0%","I feel satisfied with how much I ate","I usually do, and I drank today too","Individual self study","3","2","2","2","3h","15","2","3","After afternoon classes","8"
"2021/12/10 6:36:39 PM GMT+1","19","Male","L1 FDV","glucid restricted",">75%","0%","0%","<10%","0%","0%","I am too full, I overate","I usually do not, and I did not drink today either","Individual self study","2","> 3","1","2","3h","10 ","5","4","A different day than the one you're referring to","9"
"2021/12/10 6:40:20 PM GMT+1","19","Male","L1 FDV","glucid restrected","50%","0%","50%","0%","0%","0%","I feel satisfied with how much I ate","I usually do not, and I did not drink today either","Student Presentations (I'm the one presenting)","4","2","4","4","2h30","10","5","4","A different day than the one you're referring to","10"
